date,category,amount
2023-01-29,Coffe,6.7
2023-01-29,Coffe,13.9
2023-01-29,Restuarant,5.3
2023-01-29,Market,2.78
2023-01-29,Other,1
2023-01-29,Other,1
2023-01-29,Restuarant,110
2023-01-29,Restuarant,5
2023-01-30,Phone,12
2023-01-30,Coffe,5
2023-01-30,Taxi,5
2023-01-30,Taxi,2
2023-01-30,Coffe,6.7
2023-01-30,Restuarant,5.3
2023-01-30,Tech,25
2023-01-30,Coffe,6.7
2023-01-30,Clothing,11
2023-01-30,Market,1.4
2023-01-31,Taxi,5
2023-01-31,Coffe,6.7
2023-01-31,Coffe,8.2
2023-01-31,Coffe,6.7
2023-01-31,Coffe,5.5
2023-01-31,Coffe,5.5
2023-01-31,Market,5.8
2023-02-01,Clothing,2
2023-02-01,Coffe,6.9
2023-02-01,Coffe,6.7
2023-02-01,Coffe,8.2
2023-02-01,Coffe,6.7
2023-02-02,Business lunch,5
2023-02-02,Market,0.6
2023-02-02,Coffe,13
2023-02-03,Transport,5
2023-02-03,Market,8.78
2023-02-03,Business lunch,6
2023-02-03,Market,0.8
2023-02-03,Coffe,5.5
2023-02-03,Coffe,13
2023-02-03,Film/enjoyment,12
2023-02-03,Other,4
2023-02-04,Sport,68
2023-02-04,Taxi,6
2023-02-04,Restuarant,20
2023-02-04,Taxi,3
2023-02-04,Coffe,11
2023-02-04,Learning,58.6
2023-02-04,Market,3.5
2023-02-05,Coffe,13
2023-02-05,Phone,3
2023-02-05,Coffe,5.5
2023-02-05,Coffe,5.5
2023-02-04,Taxi,3.5
2023-02-04,Restuarant,51
2023-02-04,Market,11.15
2023-02-06,Other,1.5
2023-02-06,Business lunch,6.7
2023-02-06,Coffe,5.5
2023-02-06,Restuarant,5.3
2023-02-07,Market,0.6
2023-02-07,Business lunch,14
2023-02-07,Coffe,3.12
2023-02-07,Learning,20.5
2023-02-07,Market,3.8
2023-02-08,Market,0.8
2023-02-08,Business lunch,10
2023-02-08,Transport,5
2023-02-08,Coffe,7.17
2023-02-08,Market,4.72
2023-02-08,Health,18
2023-02-09,Taxi,1
2023-02-09,Business lunch,8.4
2023-02-09,Clothing,40
2023-02-09,Coffe,3.12
2023-02-09,Market,4.44
2023-02-10,Market,0.6
2023-02-10,Business lunch,10
2023-02-10,Market,1
2023-02-10,Coffe,3.12
2023-02-10,Clothing,17
2023-02-10,Restuarant,10.5
2023-02-10,Market,1
2023-02-11,Coffe,5.5
2023-02-11,Restuarant,5.3
2023-02-12,joy,120
2023-02-13,Business lunch,8.4
2023-02-13,Sport,30
2023-02-13,Market,0.5
2023-02-13,Market,0.44
2023-02-13,Communal,181
2023-02-14,Phone,3
2023-02-14,Business lunch,10
2023-02-14,Market,7.3
2023-02-15,Business lunch,10
2023-02-15,Market,1.3
2023-02-15,Market,1
2023-02-15,Market,4.25
2023-02-16,Market,0.7
2023-02-16,Business lunch,10
2023-02-16,Market,4.47
2023-02-17,Market,15
2023-02-17,Business lunch,10
2023-02-17,Events,50
2023-02-17,Coffe,3.12
2023-02-17,Market,13.6
2023-02-18,Taxi,5
2023-02-18,Restuarant,5.3
2023-02-18,Coffe,6.7
2023-02-18,Coffe,6.7
2023-02-18,Coffe,6.7
2023-02-17,Market,22
2023-02-17,Transport,5
2023-02-19,Market,2.15
2023-02-19,Coffe,6.7
2023-02-19,Coffe,18.2
2023-02-19,Market,0.52
2023-02-19,Market,0.52
2023-02-19,Coffe,6.9
2023-02-19,Market,1.35
2023-02-19,Restuarant,31
2023-02-20,Market,2
2023-02-20,Business lunch,10
2023-02-20,Market,7
2023-02-21,Market,2.22
2023-02-21,Phone,1
2023-02-21,Business lunch,10.53
2023-02-22,Market,1.4
2023-02-22,Business lunch,11
2023-02-22,Market,0.6
2023-02-22,Transport,5
2023-02-22,Market,2.2
2023-02-23,Phone,1.25
2023-02-23,Business lunch,10
2023-02-23,Market,1.3
2023-02-23,Restuarant,35
2023-02-24,Market,1.2
2023-02-24,Business lunch,10
2023-02-24,Market,25
2023-02-25,Coffe,6.7
2023-02-25,Restuarant,5.3
2023-02-25,Coffe,6.7
2023-02-25,Market,8.5
2023-02-25,Events,5
2023-02-25,Taxi,3
2023-02-25,Market,3
2023-02-26,Coffe,15
2023-02-26,Coffe,6.7
2023-02-26,Market,10.44
2023-02-26,Restuarant,5.3
2023-02-26,Coffe,11.3
2023-02-26,Market,5.9
2023-02-27,Market,1.3
2023-02-27,Business lunch,10
2023-02-27,Phone,3
2023-02-27,Restuarant,68
2023-02-27,Market,3.54
2023-02-27,Market,9.57
2023-02-28,Market,7.15
2023-02-28,Business lunch,10
2023-02-28,Restuarant,5.3
2023-03-01,Business lunch,10
2023-03-01,Phone,10
2023-03-01,Clothing,210
2023-03-01,Clothing,56
2023-03-01,Other,10
2023-03-01,Taxi,2.3
2023-03-01,Coffe,7
2023-03-01,Phone,3
2023-03-01,Transport,5
2023-03-02,Restuarant,10.53
2023-03-02,Events,20
2023-03-02,Market,9.44
2023-03-02,Market,11.13
2023-03-03,Market,0.75
2023-03-03,Business lunch,10
2023-03-03,Health,77.1
2023-03-03,Market,12
2023-03-04,Taxi,9
2023-03-04,Restuarant,200
2023-03-04,Coffe,52
2023-03-04,Coffe,6.7
2023-03-04,Coffe,6.7
2023-03-04,Market,3.6
2023-03-05,Coffe,6.7
2023-03-05,Coffe,14.2
2023-03-05,Market,1
2023-03-05,Restuarant,5.4
2023-03-05,Restuarant,25
2023-03-06,Market,0.9
2023-03-06,Sport,68
2023-03-06,Restuarant,5.4
2023-03-06,Market,2.05
2023-03-07,Business lunch,13
2023-03-07,Events,60
2023-03-07,Health,1.34
2023-03-07,Restuarant,5.4
2023-03-07,Transport,5
2023-03-08,Phone,3
2023-03-08,Market,10.8
2023-03-08,Coffe,7.1
2023-03-08,Restuarant,5.4
2023-03-08,Market,3.25
2023-03-08,Health,0.9
2023-03-09,Market,1
2023-03-09,Business lunch,13.12
2023-03-09,Market,5
2023-03-09,Coffe,3.12
2023-03-09,Market,6.46
2023-03-11,Restuarant,19
2023-03-11,Communal,150
2023-03-11,Coffe,16
2023-03-11,Coffe,7
2023-03-11,Restuarant,36
2023-03-12,Restuarant,39
2023-03-12,Coffe,7.1
2023-03-12,Coffe,7.1
2023-03-12,Coffe,9
2023-03-11,Other,5
2023-03-11,Restuarant,10
2023-03-13,Business lunch,10
2023-03-13,Coffe,7.1
2023-03-13,Coffe,3.12
2023-03-13,Transport,5
2023-03-13,Market,13.51
2023-03-14,Business lunch,10
2023-03-14,Coffe,7.1
2023-03-14,Restuarant,5.4
2023-03-14,Market,9.24
2023-03-15,Business lunch,9
2023-03-15,Market,0.7
2023-03-15,Coffe,7.3
2023-03-15,Coffe,7.1
2023-03-14,Market,7.52
2023-03-14,Restuarant,5.4
2023-03-16,Market,8.4
2023-03-16,Coffe,7.1
2023-03-16,Coffe,9
2023-03-16,Business lunch,8.5
2023-03-16,Market,6.08
2023-03-17,Sport,30
2023-03-17,Market,1
2023-03-17,Coffe,7.1
2023-03-17,Coffe,7.1
2023-03-17,Coffe,8.9
2023-03-17,Market,8.55
2023-03-18,Clothing,70
2023-03-18,Coffe,7.1
2023-03-18,Coffe,7.1
2023-03-18,Coffe,7.5
2023-03-18,Events,100
2023-03-18,Market,1
2023-03-18,Coffe,7.1
2023-03-18,Coffe,7
2023-03-19,Phone,3
2023-03-19,Coffe,7.1
2023-03-19,Coffe,7.1
2023-03-19,Market,1.6
2023-03-19,Coffe,7.1
2023-03-19,Coffe,7.1
2023-03-20,Coffe,7.1
2023-03-20,Coffe,7.1
2023-03-20,Market,2.3
2023-03-20,Coffe,7.1
2023-03-20,Coffe,8.9
2023-03-20,Health,19
2023-03-20,Market,4.62
2023-03-20,Market,1.65
2023-03-21,Coffe,7.1
2023-03-21,Coffe,7.1
2023-03-21,Market,1.4
2023-03-21,Coffe,7.1
2023-03-21,Transport,5
2023-03-21,Market,17
2023-03-22,Coffe,7.1
2023-03-22,Coffe,9
2023-03-22,Market,1
2023-03-21,Restuarant,13
2023-03-21,Market,17.5
2023-03-23,Market,7.3
2023-03-23,Market,9.5
2023-03-24,Coffe,16
2023-03-24,Coffe,7.1
2023-03-23,Market,10
2023-03-25,Other,12
2023-03-25,Communal,26
2023-03-25,Market,8
2023-03-24,Market,4.34
2023-03-26,Coffe,16
2023-03-26,Phone,1.5
2023-03-26,Coffe,7.1
2023-03-25,Market,3.6
2023-03-27,Restuarant,26
2023-03-26,Restuarant,12
2023-03-27,Market,10.41
2023-03-28,Transport,5
2023-03-28,Market,10.17
2023-03-29,Restuarant,20
2023-03-29,Market,6.5
2023-03-29,Restuarant,5
2023-03-30,Phone,1.61
2023-03-30,Market,19.5
2023-03-31,Other,20
2023-03-31,Market,8.9
2023-03-31,Events,28
2023-03-31,Restuarant,34
2023-04-01,Coffe,14.3
2023-04-01,Transport,5
2023-03-31,Market,20
2023-04-02,Learning,24
2023-04-02,Phone,10
2023-04-01,Restuarant,34
2023-04-03,Phone,1.81
2023-04-03,Restuarant,36
2023-04-03,Restuarant,25
2023-04-04,Coffe,16
2023-04-04,Coffe,7.1
2023-04-05,Sport,68
2023-04-05,Coffe,16
2023-04-05,Coffe,7.1
2023-04-05,Market,37
2023-04-06,Coffe,16
2023-04-06,Coffe,7.1
2023-04-05,Market,11
2023-04-07,Coffe,16
2023-04-06,Restuarant,85
2023-04-08,Coffe,16
2023-04-08,Coffe,8.13
2023-04-08,Transport,5
2023-04-07,Market,15.83
2023-04-09,Other,10
2023-04-09,Coffe,16
2023-04-09,Coffe,7.9
2023-04-08,Market,32
2023-04-10,Phone,7.2
2023-04-10,Restuarant,223
2023-04-09,Market,4.23
2023-04-11,Health,39.2
2023-04-11,Coffe,14.6
2023-04-11,Coffe,7.1
2023-04-10,Market,18.32
2023-04-12,Communal,150
2023-04-12,Coffe,16
2023-04-12,Restuarant,25
2023-04-11,Market,8.67
2023-04-13,Market,25.2
2023-04-14,Restuarant,33
2023-04-14,Coffe,16
2023-04-14,Coffe,7.1
2023-04-13,Market,8.17
2023-04-15,Taxi,3
2023-04-15,Market,2.3
2023-04-15,Other,8
2023-04-15,Clothing,47
2023-04-15,Coffe,7.1
2023-04-15,Transport,5
2023-04-16,Coffe,7.1
2023-04-15,Market,30
2023-04-16,Coffe,7.1
2023-04-17,Coffe,7.1
2023-04-17,Restuarant,24
2023-04-18,Travel,78
2023-04-18,Coffe,16
2023-04-18,Coffe,7.1
2023-04-19,Phone,2
2023-04-19,Coffe,17
2023-04-19,Health,17
2023-04-19,Market,12
2023-04-20,Transport,1.5
2023-04-20,Restuarant,35
2023-04-19,Restuarant,5.8
2023-04-21,Restuarant,53
2023-04-21,Coffe,7.3
2023-04-21,Coffe,12
2023-04-21,Clothing,300
2023-04-21,Coffe,5.3
2023-04-22,Travel,20
2023-04-22,Market,1.41
2023-04-23,Events,50
2023-04-23,Transport,0.3
2023-04-23,Film/enjoyment,8
2023-04-23,Market,2
2023-04-23,Restuarant,7.5
2023-04-24,Market,1.2
2023-04-24,Market,21
2023-04-24,Other,10
2023-04-24,Restuarant,33
2023-04-24,Coffe,14
2023-04-24,Restuarant,7.3
2023-04-24,Coffe,12
2023-04-24,Transport,5
2023-04-24,Market,2.4
2023-04-25,Market,1
2023-04-26,Market,0.9
2023-04-26,Market,2.13
2023-04-26,Health,5.86
2023-04-26,Coffe,16
2023-04-27,Market,13
2023-04-28,Market,0.9
2023-04-27,Restuarant,20.38
2023-04-28,Restuarant,10
2023-04-28,Coffe,14.3
2023-04-28,Transport,5
2023-04-27,Market,6.54
2023-04-29,Transport,1
2023-04-30,Restuarant,13
2023-04-30,Restuarant,10
2023-04-30,joy,20
2023-04-30,Coffe,9.2
2023-04-30,Coffe,7.3
2023-04-30,Market,6.5
2023-05-01,Sport,490
2023-05-01,Restuarant,10
2023-05-01,Coffe,16
2023-05-01,Other,10
2023-05-02,Transport,1
2023-05-02,Phone,13
2023-05-02,Coffe,12.6
2023-05-02,Coffe,17
2023-05-03,Business lunch,13
2023-05-03,Sport,20
2023-05-03,Transport,5
2023-05-03,Market,9.32
2023-05-03,Restuarant,45
2023-05-05,Restuarant,63
2023-05-05,Market,2.23
2023-05-06,Transport,0.7
2023-05-06,Restuarant,20
2023-05-06,Coffe,7
2023-05-06,Market,20
2023-05-06,Coffe,8.9
2023-05-06,Coffe,7.1
2023-05-07,Coffe,12
2023-05-07,Coffe,7.1
2023-05-07,Restuarant,20
2023-05-07,Coffe,9
2023-05-07,Coffe,8
2023-05-07,Coffe,14.3
2023-05-08,Clothing,30
2023-05-08,Market,0.9
2023-05-08,Market,9.32
2023-05-08,Coffe,16
2023-05-08,Market,31
2023-05-08,Taxi,4
2023-05-09,Restuarant,14.6
2023-05-09,Taxi,1
2023-05-09,Coffe,12
2023-05-09,Taxi,3
2023-05-09,Market,2.51
2023-05-09,Taxi,5.49
2023-05-09,Restuarant,43
2023-05-10,Transport,6
2023-05-10,Coffe,16
2023-05-10,Clothing,59
2023-05-10,Coffe,16
2023-05-10,Restuarant,26
2023-05-10,Phone,5
2023-05-10,Market,10.35
2023-05-11,Market,1.8
2023-05-11,Restuarant,92
2023-05-11,Transport,5
2023-05-11,Health,17
2023-05-11,Market,11
2023-05-12,Communal,150
2023-05-12,Restuarant,12
2023-05-12,Health,71
2023-05-12,Market,8
2023-05-13,Coffe,15
2023-05-13,Coffe,7.9
2023-05-13,Learning,35
2023-05-13,Restuarant,13
2023-05-13,Coffe,7.1
2023-05-13,Coffe,9
2023-05-13,Market,4
2023-05-14,Coffe,16
2023-05-14,Coffe,14.4
2023-05-14,Learning,1.1
2023-05-14,Coffe,9
2023-05-14,Taxi,4
2023-05-14,Other,10
2023-05-14,Coffe,8.9
2023-05-14,Taxi,4.29
2023-05-15,Market,1
2023-05-15,Restuarant,6
2023-05-15,Market,6
2023-05-15,Coffe,7.9
2023-05-15,Coffe,23
2023-05-16,Market,8.5
2023-05-16,Market,4
2023-05-16,Restuarant,100
2023-05-16,Market,2
2023-05-17,Market,1.6
2023-05-17,Restuarant,12
2023-05-17,Market,4
2023-05-17,Coffe,7.1
2023-05-17,Coffe,7.1
2023-05-17,Market,8
2023-05-18,Market,2
2023-05-18,Market,1
2023-05-18,Coffe,7.1
2023-05-18,Transport,5
2023-05-18,Market,8
2023-05-19,Restuarant,11
2023-05-19,Learning,1.4
2023-05-19,Coffe,7.1
2023-05-19,Market,12.45
2023-05-20,Market,1.5
2023-05-20,Coffe,7
2023-05-20,Coffe,15
2023-05-20,Market,8
2023-05-20,Restuarant,114
2023-05-20,Taxi,5
2023-05-21,Coffe,7.1
2023-05-21,Taxi,3
2023-05-21,Taxi,3
2023-05-21,Coffe,9
2023-05-21,Market,22
2023-05-21,Health,17
2023-05-21,Other,10
2023-05-22,Market,0.85
2023-05-22,Market,3
2023-05-22,Market,0.05
2023-05-22,Restuarant,8.5
2023-05-22,Coffe,7.1
2023-05-22,Coffe,7.1
2023-05-22,Market,29
2023-05-23,Market,4.1
2023-05-23,Health,55
2023-05-23,Restuarant,8
2023-05-23,Coffe,7.1
2023-05-24,Market,3.4
2023-05-24,Phone,5
2023-05-24,Business lunch,6
2023-05-24,Coffe,24
2023-05-24,Transport,5
2023-05-25,Market,5.81
2023-05-25,Other,1.7
2023-05-25,Market,1.45
2023-05-25,Market,2
2023-05-25,Coffe,7.1
2023-05-26,Market,5
2023-05-26,Health,11
2023-05-26,Market,3
2023-05-26,Phone,2
2023-05-26,Market,20.27
2023-05-27,Coffe,8.1
2023-05-27,Coffe,8.1
2023-05-27,Coffe,9
2023-05-27,Market,1.8
2023-05-27,Coffe,12
2023-05-27,Coffe,8.9
2023-05-27,Restuarant,5.4
2023-05-28,Restuarant,7.3
2023-05-28,Market,0.85
2023-05-28,Coffe,7.3
2023-05-28,Taxi,1.6
2023-05-28,Coffe,8.1
2023-05-28,Market,13.68
2023-05-29,Taxi,1.55
2023-05-29,Coffe,7.1
2023-05-29,Coffe,9
2023-05-29,Coffe,9.2
2023-05-29,Restuarant,14.6
2023-05-30,Market,3
2023-05-30,Market,9.34
2023-05-30,Transport,5
2023-05-30,Restuarant,6
2023-05-31,Market,1.65
2023-05-31,Market,3.36
2023-05-31,Market,1.7
2023-05-31,Restuarant,30
2023-06-01,Events,50
2023-06-01,Market,1.65
2023-06-01,Restuarant,6
2023-06-01,Coffe,7.1
2023-06-01,Learning,6
2023-06-01,Other,5
2023-06-02,Market,8.53
2023-06-02,Phone,10
2023-06-02,Market,1.45
2023-06-02,Sport,20
2023-06-02,Business lunch,8
2023-06-02,Coffe,8.1
2023-06-02,Phone,1
2023-06-02,Market,7.58
2023-06-03,Taxi,1.56
2023-06-03,Coffe,7.1
2023-06-03,Restuarant,16.8
2023-06-03,Coffe,8.1
2023-06-03,Coffe,7
2023-06-03,Market,8.21
2023-06-03,Market,10
2023-06-03,Events,100
2023-06-04,Market,1.9
2023-06-04,Taxi,6
2023-06-04,Coffe,7.3
2023-06-04,Coffe,16
2023-06-04,Market,1.85
2023-06-04,Transport,4
2023-06-04,Market,1.85
2023-06-04,Taxi,3
2023-06-04,Market,50
2023-06-04,Market,1.6
2023-06-05,Market,2.63
2023-06-05,Other,3.4
2023-06-05,Restuarant,14
2023-06-05,Market,0.5
2023-06-05,Phone,1
2023-06-06,Market,5.38
2023-06-06,Market,1.88
2023-06-06,Market,5.33
2023-06-07,Market,2
2023-06-07,Market,4.38
2023-06-07,Film/enjoyment,7.34
2023-06-08,Market,7.1
2023-06-08,Market,1.45
2023-06-09,Market,3.33
2023-06-09,Phone,1
2023-06-09,Business lunch,13
2023-06-09,Coffe,7.1
2023-06-09,Market,1.45
2023-06-10,Market,3
2023-06-10,Coffe,16
2023-06-10,Coffe,7.1
2023-06-10,Coffe,7.9
2023-06-10,Market,1.85
2023-06-10,Coffe,8.1
2023-06-10,Market,20.84
2023-06-11,Transport,5
2023-06-11,Coffe,17
2023-06-11,Coffe,8.1
2023-06-11,Market,1.45
2023-06-12,Market,4
2023-06-12,Business lunch,8
2023-06-12,Phone,1
2023-06-12,Coffe,7.1
2023-06-12,Market,5.9
2023-06-13,Market,1
2023-06-13,Market,8.35
2023-06-13,Business lunch,7
2023-06-13,Market,3.72
2023-06-13,Other,10
2023-06-14,Taxi,10
2023-06-14,Taxi,2.56
2023-06-14,Market,3
2023-06-14,Market,6.1
2023-06-15,Communal,200
2023-06-15,Coffe,7.1
2023-06-15,Restuarant,13
2023-06-15,Market,1.85
2023-06-15,Coffe,10.5
2023-06-16,Market,4
2023-06-16,Market,3.36
2023-06-16,Other,1
2023-06-17,Coffe,7.1
2023-06-17,Coffe,16
2023-06-17,Coffe,10.1
2023-06-17,Restuarant,10
2023-06-17,Market,1.75
2023-06-17,Other,10
2023-06-17,Market,5.42
2023-06-17,Clothing,106
2023-06-17,Market,6.6
2023-06-18,Transport,5
2023-06-18,Coffe,7.1
2023-06-18,Coffe,16
2023-06-18,Coffe,7.1
2023-06-18,Market,0.75
2023-06-18,Market,10.86
2023-06-19,Market,4.5
2023-06-19,Market,4.55
2023-06-19,Coffe,8.1
2023-06-19,Restuarant,18
2023-06-19,Restuarant,82
2023-06-20,Market,7.72
2023-06-20,Coffe,16
2023-06-20,Learning,25
2023-06-21,Market,5.7
2023-06-21,Market,12
2023-06-21,Coffe,6.8
2023-06-21,Market,14
2023-06-22,Market,4.66
2023-06-22,Market,1.3
2023-06-22,Coffe,8.1
2023-06-22,Market,12
2023-06-23,Market,2.9
2023-06-23,Other,2
2023-06-23,Market,5
2023-06-23,Coffe,15
2023-06-23,Transport,1
2023-06-24,Market,1.3
2023-06-24,Market,2
2023-06-24,Coffe,17
2023-06-24,Events,51
2023-06-24,Phone,12
2023-06-24,Other,10
2023-06-25,Market,0.9
2023-06-25,Market,5.32
2023-06-25,Clothing,5
2023-06-25,Restuarant,28
2023-06-24,joy,45
2023-06-24,Taxi,4.41
2023-06-26,Events,18
2023-06-26,Taxi,6.5
2023-06-26,Coffe,7.1
2023-06-26,Restuarant,50
2023-06-26,Restuarant,10
2023-06-26,Market,1.75
2023-06-26,Market,18.39
2023-06-27,Taxi,2.71
2023-06-27,Coffe,7.1
2023-06-27,Coffe,8.9
2023-06-27,Coffe,7.1
2023-06-27,Taxi,1
2023-06-27,Market,2.51
2023-06-28,Taxi,3.73
2023-06-28,Coffe,8.1
2023-06-28,Taxi,1.7
2023-06-28,Clothing,73
2023-06-28,Restuarant,13
2023-06-28,Taxi,3.8
2023-06-28,Phone,1
2023-06-29,Transport,10
2023-06-29,Coffe,7.1
2023-06-29,Coffe,1
2023-06-29,joy,72
2023-06-29,Market,3.2
2023-06-30,Taxi,4.02
2023-06-30,Market,1.65
2023-06-30,Coffe,7.1
2023-06-30,Coffe,9
2023-06-30,Taxi,1.5
2023-06-30,Taxi,4
2023-06-30,Market,9.7
2023-06-30,Taxi,3.73
2023-06-30,Coffe,8.1
2023-07-01,Phone,1
2023-07-01,Restuarant,34
2023-07-02,Taxi,4
2023-07-02,Market,2.6
2023-07-02,Coffe,7.1
2023-07-02,Coffe,9
2023-07-02,Taxi,4
2023-07-02,joy,30
2023-07-02,Sport,20
2023-07-02,Clothing,194
2023-07-02,Coffe,16
2023-07-02,Phone,5
2023-07-02,Taxi,7
2023-07-03,Market,3.36
2023-07-03,Restuarant,5
2023-07-03,Learning,12
2023-07-03,Learning,3
2023-07-04,Market,2
2023-07-04,Business lunch,6
2023-07-04,Restuarant,70
2023-07-04,Other,10
2023-07-05,Market,0.9
2023-07-05,Restuarant,4.75
2023-07-05,Business lunch,24
2023-07-05,Market,15
2023-07-06,Market,8
2023-07-06,Restuarant,3.8
2023-07-06,Market,5.83
2023-07-07,Business lunch,11
2023-07-07,Market,1.77
2023-07-08,Restuarant,7.4
2023-07-08,Market,1.85
2023-07-09,Coffe,16
2023-07-09,Coffe,8.1
2023-07-09,Market,0.85
2023-07-09,Restuarant,10.8
2023-07-09,Market,13
2023-07-10,Market,2.25
2023-07-10,Business lunch,7
2023-07-10,Market,1.5
2023-07-10,Market,4.86
2023-07-11,Market,2.33
2023-07-11,Market,3.57
2023-07-11,Restuarant,39
2023-07-12,Transport,0.6
2023-07-12,Market,13
2023-07-12,Market,6.33
2023-07-12,Business lunch,10
2023-07-12,Coffe,9.5
2023-07-13,Communal,170
2023-07-13,Other,3.4
2023-07-13,Market,4.7
2023-07-13,Phone,10
2023-07-13,Market,16
2023-07-13,Coffe,7.1
2023-07-14,Market,1
2023-07-14,Business lunch,7.5
2023-07-14,Market,1
2023-07-14,Other,10
2023-07-14,Market,13
2023-07-15,Transport,5
2023-07-15,Coffe,16
2023-07-15,Clothing,39
2023-07-15,Events,100
2023-07-15,Restuarant,25
2023-07-16,Coffe,7.1
2023-07-16,Coffe,16
2023-07-16,Coffe,7.1
2023-07-16,Market,0.5
2023-07-16,Learning,8.5
2023-07-16,Restuarant,7.3
2023-07-16,Market,7.27
2023-07-17,Clothing,3
2023-07-17,Business lunch,3.75
2023-07-17,Phone,2
2023-07-17,Clothing,127
2023-07-17,Market,5
2023-07-17,Coffe,8.4
2023-07-17,Coffe,7.1
2023-07-18,Market,1.5
2023-07-18,Business lunch,3.8
2023-07-18,Coffe,8.4
2023-07-18,Coffe,7.4
2023-07-19,Market,3.75
2023-07-19,Market,3
2023-07-19,Coffe,8.4
2023-07-19,Coffe,8.9
2023-07-19,Market,2.1
2023-07-20,Transport,4
2023-07-20,Taxi,2
2023-07-20,Coffe,7.1
2023-07-20,Coffe,7.1
2023-07-20,Coffe,7.1
2023-07-20,Phone,3
2023-07-20,Market,12
2023-07-20,Market,4
2023-07-21,Coffe,15
2023-07-26,Tech,10
2023-07-26,Restuarant,51
2023-07-26,Fuel,20
2023-07-26,Clothing,708
2023-07-26,Taxi,110
2023-07-26,Travel,2500
2023-07-26,Market,3
2023-07-28,Clothing,36
2023-07-28,Health,55
2023-07-28,Restuarant,19
2023-07-28,Market,29
2023-07-28,Clothing,20
2023-07-28,Clothing,10
2023-07-28,Restuarant,14
2023-07-28,Events,158
2023-07-30,Coffe,8.1
2023-07-30,Learning,10.9
2023-07-30,Market,5.4
2023-08-02,Coffe,16
2023-08-02,Transport,5
2023-08-03,Market,5
2023-08-03,Phone,3
2023-08-03,Other,45
2023-08-04,Phone,10
2023-08-04,Business lunch,7.2
2023-08-04,Business lunch,1.5
2023-08-04,Coffe,9
2023-08-04,Market,15
2023-08-05,Market,11
2023-08-05,Coffe,8.1
2023-08-05,Restuarant,6
2023-08-05,Sport,20
2023-08-05,Coffe,7.1
2023-08-06,Coffe,7.1
2023-08-06,Restuarant,9
2023-08-06,Coffe,7.1
2023-08-06,Phone,5
2023-08-07,Business lunch,3.5
2023-08-07,Market,5.7
2023-08-07,Coffe,8.1
2023-08-07,Learning,11.5
2023-08-07,Transport,5
2023-08-08,Market,2.34
2023-08-08,Business lunch,11
2023-08-08,Coffe,7.1
2023-08-08,Market,14
2023-08-09,Business lunch,8
2023-08-10,Market,5.18
2023-08-10,Market,1
2023-08-11,Market,1.8
2023-08-11,Business lunch,6.75
2023-08-11,Learning,11.61
2023-08-11,Coffe,16
2023-08-11,Taxi,2
2023-08-11,Communal,150
2023-08-12,Coffe,7.1
2023-08-12,Transport,5.2
2023-08-12,Restuarant,40
2023-08-12,Other,10
2023-08-13,Restuarant,11
2023-08-14,Market,1.49
2023-08-14,Business lunch,7
2023-08-14,Market,16.35
2023-08-15,Restuarant,3.75
2023-08-15,Coffe,6.1
2023-08-15,Coffe,8.1
2023-08-15,Market,17.32
2023-08-16,Market,1.75
2023-08-16,Restuarant,4
2023-08-16,Coffe,6.1
2023-08-16,Coffe,8.1
2023-08-16,Market,2.76
2023-08-17,Business lunch,10
2023-08-17,Coffe,7.1
2023-08-17,Phone,10
2023-08-18,Market,4.48
2023-08-18,Other,2
2023-08-18,Market,1.55
2023-08-18,Learning,45
2023-08-18,Coffe,6.1
2023-08-18,Coffe,6.1
2023-08-18,Taxi,2.5
2023-08-19,Coffe,14.2
2023-08-19,Market,2.5
2023-08-19,Transport,5
2023-08-19,Coffe,18
2023-08-20,Coffe,5.8
2023-08-20,Market,1.4
2023-08-20,Market,0.6
2023-08-21,joy,42
2023-08-21,Market,1.82
2023-08-21,Business lunch,10
2023-08-21,Learning,16.2
2023-08-22,Market,6.39
2023-08-22,Market,12
2023-08-22,Coffe,7.1
2023-08-23,Market,6.27
2023-08-23,Market,2.42
2023-08-23,Business lunch,10
2023-08-23,Other,3.5
2023-08-23,Coffe,8.1
2023-08-24,Market,3
2023-08-24,Coffe,6.1
2023-08-25,Market,5.41
2023-08-25,Other,10
2023-08-25,Phone,3
2023-08-26,Market,11
2023-08-26,Coffe,16
2023-08-26,Coffe,11.8
2023-08-26,Other,10
2023-08-26,Coffe,14.2
2023-08-27,Market,17
2023-08-27,Market,11
2023-08-28,Market,2.5
2023-08-28,Transport,5
2023-08-28,Market,7.73
2023-08-29,Market,3
2023-08-29,Market,11
2023-08-29,Market,5
2023-08-29,Taxi,3
2023-08-29,Taxi,4
2023-08-29,Restuarant,26
2023-08-29,Coffe,8.1
2023-08-30,Market,2
2023-08-30,Market,1.75
2023-08-30,Coffe,7.1
2023-08-30,Market,7.4
2023-08-31,Market,13.62
2023-08-31,Coffe,6.1
2023-09-01,Market,22.43
2023-09-01,Coffe,7.4
2023-09-01,Coffe,7.1
2023-09-02,Market,5
2023-09-04,Market,2
2023-09-04,Sport,20
2023-09-04,joy,3
2023-09-04,Restuarant,66
2023-09-04,Market,3
2023-09-05,Market,13
2023-09-05,Business lunch,10
2023-09-05,Coffe,7.4
2023-09-06,Coffe,22
2023-09-06,Coffe,7.5
2023-09-06,Phone,5
2023-09-06,Restuarant,1
2023-09-06,Restuarant,30
